Element ,bubble sort,insertion sort,selection sort,quicksort,merge sort
3300,13557338,1754451,4163034,232637,642802
3320,18353959,1929587,4640124,226891,639489
3340,22284870,1806509,4571886,221328,612330
3360,18015072,3434316,4901976,224907,1007626
3380,15107778,2227098,6004932,232916,652237
3400,25023420,2763240,8344380,237182,1719760
3420,17298559,2359000,4972968,214582,2599188
3440,16723415,2531469,4938600,236326,732488
3460,14366060,1877885,4063973,210971,747141
3480,12812731,2679678,3905499,205098,530694
3500,13648288,1741126,3849567,202072,554676
3520,13388771,1513475,3857109,232997,686598
3540,13700887,1483551,4828511,431205,834610
3560,13603599,2394795,4671669,231490,770420
3580,13654181,1557131,3865264,233805,1283453
3600,14167474,1660602,5281876,386454,1260602
3620,14153270,2480104,5801706,258982,1007240
3640,14569944,2092203,4742228,263963,671319
3660,13922377,2421126,5320708,212726,597650
3680,14711295,2095764,4279317,246593,1703068
3700,14607366,1540242,4236322,224729,1314863
3720,15055727,2758276,4112254,234667,1222594
3740,15966120,2291863,7141232,257557,1068790
3760,16522271,2500190,5309070,252899,736243
3780,16795009,1604443,5073145,265102,996719
3800,15647702,1544042,4226337,239984,762251
3820,14990041,1559377,4181102,243064,531545
3840,18715443,2385294,4567188,215688,503347
3860,15778906,1751913,4702607,213571,551590
3880,15287780,1620660,4778921,230253,612082
3900,15730922,1625020,4453672,244736,863061
3920,15792070,2159923,5621754,301049,3124153
3940,15939326,1837705,5520968,230785,452599
3960,18877676,2429058,5457281,244322,4140538
3980,29227026,2644218,5991534,252899,672231
4000,19291153,1919621,6453944,341113,1426341
4020,40596201,2665638,6842219,256177,908425
4040,19484932,2641195,5692620,225822,560670
4060,16941102,1781660,5467420,231096,571156
4080,17088137,2398728,6467174,263910,426647
4100,20101967,2045029,6732856,321278,915984
4120,19971964,2403439,6292292,273848,663605
4140,22884775,3541879,6440678,241711,628573
4160,20664117,2202987,8229927,290060,575892
4180,21377191,2371540,6592143,263641,400602
4200,20458505,2184880,5736696,237956,412952
4220,18911160,2225117,6967894,244088,403490
4240,19881321,1989956,6259627,306295,569815
4260,18673159,2255533,5561932,327106,434606
4280,18987318,2018904,5405801,241042,406472
4300,19902345,2076582,7007220,260610,561077
4320,19561474,2303151,5582095,285090,460397
4340,20509845,2440587,6022120,249615,667659
4360,20626981,2114823,5452184,339447,628643
4380,21126800,2409830,5863037,313686,578922
4400,20092499,2310225,5736048,244980,412587
4420,20876522,2230740,6775346,262080,466351
4440,20272793,2259931,5605607,283884,522295
4460,20288900,2137081,6667363,283208,620871
4480,20315171,2525942,6164755,254600,432860
4500,21418279,3611539,6812989,254677,458617
4520,21768958,2465697,6031750,259969,480380
4540,21408124,2606161,7271884,293463,625052
4560,21840843,2229972,6943378,269845,685482
4580,22003751,2400720,6339768,262051,440918
4600,21881828,2345857,6893843,283115,493984
4620,22650726,2318495,6274291,279280,721531
4640,22573270,2430883,6840627,268364,459996
4660,23268779,2387202,6438669,382312,627666
4680,23339503,2577862,7037659,331087,775007
4700,24030853,2423942,6596946,276068,472275
4720,23402476,2567678,6844013,272655,526291
4740,25162710,2474904,7133296,352657,999226
4760,24467102,2769095,7330534,387669,711042
4780,24920473,2583530,6789470,269112,457753
4800,25660708,3894040,6739029,272719,532565
4820,25018696,2707320,7105457,309909,716922
4840,25394605,2507886,7199044,291375,826205
4860,25268281,2522602,7514404,391003,791749
4880,27472042,3128492,7475927,273174,496938
4900,28240795,2609614,7685808,403508,807181
4920,26193088,2603534,6970331,277461,618844
4940,34897927,2679396,8922359,342268,743919
4960,37037953,3071650,7624834,301693,615579
4980,28333557,4382361,7995060,293441,473157
5000,27665659,2740599,7549500,306879,552294
5020,27223531,2802417,7725482,285095,489531
5040,27787697,2998556,8451318,285595,506866
5060,34180018,3393874,7995139,298984,534289
5080,27786321,2844881,7482743,288046,506398
5100,28623745,2786003,7411568,290847,508428
5120,27982404,2948357,7513654,320027,525095
5140,27936959,2876372,8028850,396554,704532
5160,28508622,3409511,8138308,305430,592116
5180,29232822,4578277,9947451,300329,602969
5200,28702925,3125051,7995407,298690,566566
5220,28631434,2949399,9218962,2295375,1109985
5240,30380099,3264122,8077372,304622,509517
5260,29510340,3205889,8565085,411452,580129
5280,30182151,3106620,8461747,404420,1343425
5300,30349255,3167589,8170779,328780,770266
5320,29776919,3056845,8794610,307128,563925
5340,29793479,3105138,8378139,311521,508321
5360,29988713,3351897,8456656,303297,511158
5380,32379810,4031514,8404226,380876,517844
5400,31064559,3218234,8266383,308066,604427
5420,31468392,3330581,8622571,304126,687417
5440,31163499,3319495,8520657,401541,623978
5460,31374192,3434165,9256631,310611,547651
5480,32349291,3456397,8958066,311962,547542
5500,31502870,3183432,9189361,342612,634393
5520,32831309,3341357,8505773,311782,551183
5540,32154815,3821535,8937924,317383,555541
5560,32293686,3333163,9424493,327114,556162
5580,33165469,3302241,9175674,322114,525085
5600,33304597,3334933,9321850,750031,694372
5620,33276227,3438998,8969020,326863,616797
5640,34636996,3564382,9023425,361852,529352
5660,34057866,3392547,8966856,328526,538363
5680,34210870,3530645,9746918,320484,542076
5700,34502358,3455838,9375284,323037,542762
5720,34143326,3458851,9979992,418546,596854
5740,34473676,3485868,9462607,326424,546766
5760,34327275,3537157,9651384,336750,572417
5780,35187809,3530562,9728795,364131,565057
5800,35600594,3759953,9915958,329186,581136
5820,36221052,3723782,9879583,350835,557788
5840,36990857,3604456,10267173,401167,687355
5860,36563089,3621205,10020474,337860,559925
5880,36249411,3873156,10078753,329055,557253
5900,37018524,4570247,10000303,342868,567744
5920,53414728,8126788,18698972,421189,784931
5940,53630893,7925785,21164059,485958,2356405
5960,43793495,4536147,13407916,448341,1270537
5980,41357889,4074327,11279914,866581,1597339
6000,43571590,4933496,10777746,343928,574280
6020,40243669,4378202,10732793,351594,577856
6040,40924475,4284546,10365216,341366,579920
6060,38235123,4032041,10448938,401848,738103
6080,39069338,4109771,10341286,353268,582113
6100,39409969,4144353,10745752,343215,584790
6120,39675234,3961594,10575646,344027,582221
6140,40483628,4054220,10564969,355878,723809
6160,39890718,4137707,10692028,354238,589989
6180,42500663,4073100,11034202,393042,589362
6200,39935541,4249516,10970952,363318,599623
6220,40640218,4305295,10803922,366160,597570
6240,41627733,4202491,11355379,379394,598345
6260,42335673,4327720,12085229,354580,606551
6280,44726537,5128589,11929614,370555,620822
6300,47847704,4654412,11564132,369993,624914
6320,43869728,4280981,12291546,375186,617616
6340,44703915,4886291,12082605,420927,669926
6360,44772347,4492594,11986765,369063,614499
6380,44297068,4685576,11820389,368369,618439
6400,44894571,4853914,11850038,372009,621042
6420,44510267,4309192,12667160,366565,621347
6440,45242399,5185010,12559059,371378,629173
6460,44718997,4540251,11767627,373729,625822
6480,45091449,4496781,11744975,369511,630429
6500,44582657,4844442,13274861,428638,811672
6520,45105362,4621154,11989160,380769,632535
6540,45685744,4695437,12240446,379401,635332
6560,46400591,4529645,12285640,377926,633147
6580,45726312,4719377,12841460,380710,632781
6600,45842682,4857642,13212539,399808,645698
6620,54342834,5756604,13508379,388347,644915
6640,54919925,4974057,13137073,404938,647094
6660,46623222,4749170,12402761,381717,650169
6680,46345309,5422949,13082021,386448,688147
6700,46799796,4739517,12665231,388035,655139
6720,48865321,5273813,13175204,475060,807061
6740,47954280,4783996,13390146,394691,653901
6760,47738280,4804388,12898029,392120,658396
6780,47911013,4887742,12686169,393160,660345
6800,49413594,4900851,12990680,394380,1247991
6820,48379996,4992078,12826479,397349,673020
6840,49144338,4897953,12961201,398916,677480
6860,49533413,5004073,13170078,405213,673743
6880,49854043,4991881,13070481,404035,673531
6900,49650802,4999449,13408583,399275,672924
6920,50855360,5078903,13231288,404908,675034
6940,50349145,5088322,13412002,398491,682611
6960,51173397,5128785,13545525,397543,702287
6980,51253367,5111203,13479149,403275,685627
7000,50990987,5139814,13741530,399611,690609
7020,51995822,5229094,13583508,400152,688201
7040,52595112,5207619,13848719,484145,747597
7060,52982356,5196628,14171890,405925,691330
7080,52203061,5342397,13803030,412996,716272
7100,53213633,5429836,14034481,414775,696514
7120,53901632,5348571,14193017,418877,696080
7140,54231614,5562822,14061784,421297,699362
7160,54238671,5381661,14133123,416479,700074
7180,53869288,5646192,14309460,419795,699057
7200,55019833,5426018,14537838,419523,707170
7220,55258047,5481092,15165738,419023,704809
7240,55169416,5619195,14462096,466770,868642
7260,55080935,5602202,14566971,429793,710334
7280,55783280,5696670,14836410,429812,713940
7300,56284652,5695485,15028652,430336,721521
7320,56866318,5718378,15219598,433758,717241
7340,56652840,5728869,14860148,435015,734236
7360,56997145,5968762,15201620,434220,722615
7380,56967454,5783210,15260384,496414,906121
7400,57284932,5827212,15710365,423884,734349
7420,58930586,5775232,15334999,450931,730076
